vote_average,vote_count
7.7,5415
6.5,92
5.7,173
6.6,1194
7.1,423
6.1,1128
6.4,305
6,756
5.4,452
6.7,1509
2.8,32
7,513
6.9,1644
6.1,154
6.5,93
4.4,105
6.5,1729
5.2,1529
6.8,28
6,1045
6.8,898
6.9,2094
5.6,57
5.5,130
5.2,153
5.6,359
6.4,139
4.9,261
7.2,115
5.5,457
5.6,217
6.7,35
7.7,984
7.4,769
6.5,1894
6.7,404
7.2,1558
8.1,6778
4.6,10
7.6,106
4.6,32
7.8,246
7.7,311
7.3,218
6.5,251
6.3,501
6.7,96
6.4,461
6.4,1684
6.4,390
7.3,980
5,559
8,5520
6.4,297
6.6,2550
6.4,535
5.4,426
6.8,1814
5.5,288
4.1,330
3.4,7
4.5,110
6.5,537
4.9,58
5.5,445
4.9,103
7.1,12
6,429
7.2,1240
6.1,237
6.2,463
4.6,11
7.6,4956
4.8,202
4.2,309
7.1,232
5.4,140
7.9,3833
5.9,87
7.1,2487
7.4,3495
7.7,4274
7,2145
8.1,4549
7.5,3029
5,64
6,105
6.3,150
4.9,111
5,50
6.7,2677
6.4,553
5.2,23
7.9,63
8.2,40
6.8,100
5.8,60
7.1,433
7.8,854
6.1,200
7.3,10
7.8,2737
6.7,3334
6.8,1182
5.4,717
5.8,42
5.2,119
5,63
5.6,381
8.5,6024
6.7,109
5.8,12
6.1,86
5,173
7.9,3075
7.4,97
7.5,591
7.4,11
5.3,99
6.6,34
5.9,14
6.5,60
6,126
5.9,77
6.8,92
6.6,218
6.2,22
6.8,1760
6.2,108
7,884
6.5,95
7.5,4005
5.4,198
6.1,494
7.1,1371
6.4,255
6.5,869
4.6,41
6.7,138
6.9,720
6.4,165
7.6,113
7.8,103
5.8,13
6.7,201
8.2,5998
7.7,3949
7.7,3282
8.1,2371
7.9,4763
7.9,4564
7.3,852
8.3,2405
7.5,1092
8.3,3418
7.9,639
7.4,4208
7.9,939
7.5,760
8,6239
6.8,642
7.2,831
7.7,140
